project,location,creek,year,metal,value
KGM,East Fork Slate Creek,EFSC,2012,Ni,153
KGM,East Fork Slate Creek,EFSC,2013,Ni,79.8
KGM,East Fork Slate Creek,EFSC,2014,Ni,85.3
KGM,East Fork Slate Creek,EFSC,2015,Ni,46.8
KGM,East Fork Slate Creek,EFSC,2016,Ni,86.1
KGM,East Fork Slate Creek,EFSC,2011,Pb,8.5
KGM,East Fork Slate Creek,EFSC,2012,Pb,14.2
KGM,East Fork Slate Creek,EFSC,2013,Pb,12.5
KGM,East Fork Slate Creek,EFSC,2014,Pb,6.94
KGM,East Fork Slate Creek,EFSC,2015,Pb,4.48
KGM,East Fork Slate Creek,EFSC,2016,Pb,5.54
KGM,East Fork Slate Creek,EFSC,2011,Se,1.41
KGM,East Fork Slate Creek,EFSC,2012,Se,0.934
KGM,East Fork Slate Creek,EFSC,2013,Se,4.79
KGM,East Fork Slate Creek,EFSC,2014,Se,2.4
KGM,East Fork Slate Creek,EFSC,2015,Se,1.7
KGM,East Fork Slate Creek,EFSC,2016,Se,3.1
KGM,East Fork Slate Creek,EFSC,2011,Zn,1360
KGM,East Fork Slate Creek,EFSC,2012,Zn,1490
KGM,East Fork Slate Creek,EFSC,2013,Zn,844
KGM,East Fork Slate Creek,EFSC,2014,Zn,812
KGM,East Fork Slate Creek,EFSC,2015,Zn,333
KGM,East Fork Slate Creek,EFSC,2016,Zn,634
KGM,Upper Slate Creek,USC,2011,Ag,0.12
KGM,Upper Slate Creek,USC,2012,Ag,0.132
KGM,Upper Slate Creek,USC,2013,Ag,0.131
KGM,Upper Slate Creek,USC,2014,Ag,0.06
KGM,Upper Slate Creek,USC,2015,Ag,0.08
KGM,Upper Slate Creek,USC,2016,Ag,0.092
KGM,Upper Slate Creek,USC,2011,Al,22500
KGM,Upper Slate Creek,USC,2012,Al,20300
KGM,Upper Slate Creek,USC,2013,Al,14600
KGM,Upper Slate Creek,USC,2014,Al,14900
KGM,Upper Slate Creek,USC,2015,Al,14500
KGM,Upper Slate Creek,USC,2016,Al,14000
KGM,Upper Slate Creek,USC,2011,As,17.9
KGM,Upper Slate Creek,USC,2012,As,14.4
KGM,Upper Slate Creek,USC,2013,As,13.5
KGM,Upper Slate Creek,USC,2014,As,19.2
KGM,Upper Slate Creek,USC,2015,As,14.2
KGM,Upper Slate Creek,USC,2016,As,18
KGM,Upper Slate Creek,USC,2011,Cd,0.722
KGM,Upper Slate Creek,USC,2012,Cd,0.776
KGM,Upper Slate Creek,USC,2013,Cd,0.75
KGM,Upper Slate Creek,USC,2014,Cd,0.69
KGM,Upper Slate Creek,USC,2015,Cd,0.76
KGM,Upper Slate Creek,USC,2016,Cd,0.507
KGM,Upper Slate Creek,USC,2011,Cr,127
KGM,Upper Slate Creek,USC,2012,Cr,125
KGM,Upper Slate Creek,USC,2013,Cr,101
KGM,Upper Slate Creek,USC,2014,Cr,84.2
KGM,Upper Slate Creek,USC,2015,Cr,92.2
KGM,Upper Slate Creek,USC,2016,Cr,71.7
KGM,Upper Slate Creek,USC,2011,Cu,53.4
KGM,Upper Slate Creek,USC,2012,Cu,55.4
KGM,Upper Slate Creek,USC,2013,Cu,44.6
KGM,Upper Slate Creek,USC,2014,Cu,45.8
KGM,Upper Slate Creek,USC,2015,Cu,47
KGM,Upper Slate Creek,USC,2016,Cu,37
KGM,Upper Slate Creek,USC,2011,Hg,
KGM,Upper Slate Creek,USC,2012,Hg,0.0625
KGM,Upper Slate Creek,USC,2013,Hg,
KGM,Upper Slate Creek,USC,2014,Hg,0.03
KGM,Upper Slate Creek,USC,2015,Hg,0.11
KGM,Upper Slate Creek,USC,2016,Hg,0.051
KGM,Upper Slate Creek,USC,2011,Ni,87.5
KGM,Upper Slate Creek,USC,2012,Ni,78.4
KGM,Upper Slate Creek,USC,2013,Ni,55
KGM,Upper Slate Creek,USC,2014,Ni,55.7
KGM,Upper Slate Creek,USC,2015,Ni,54
KGM,Upper Slate Creek,USC,2016,Ni,48.5
KGM,Upper Slate Creek,USC,2011,Pb,3.37
KGM,Upper Slate Creek,USC,2012,Pb,4.05
KGM,Upper Slate Creek,USC,2013,Pb,2.7
KGM,Upper Slate Creek,USC,2014,Pb,2.86
KGM,Upper Slate Creek,USC,2015,Pb,3.17
KGM,Upper Slate Creek,USC,2016,Pb,2.69
KGM,Upper Slate Creek,USC,2011,Se,0.809
KGM,Upper Slate Creek,USC,2012,Se,0.606
KGM,Upper Slate Creek,USC,2013,Se,3.21
KGM,Upper Slate Creek,USC,2014,Se,1.8
KGM,Upper Slate Creek,USC,2015,Se,2.3
KGM,Upper Slate Creek,USC,2016,Se,2.1
KGM,Upper Slate Creek,USC,2011,Zn,130
KGM,Upper Slate Creek,USC,2012,Zn,134
KGM,Upper Slate Creek,USC,2013,Zn,105
KGM,Upper Slate Creek,USC,2014,Zn,111
KGM,Upper Slate Creek,USC,2015,Zn,109
KGM,Upper Slate Creek,USC,2016,Zn,111
KGM,Lower Johnson Creek,LJC,2011,Ag,0.164
KGM,Lower Johnson Creek,LJC,2012,Ag,0.342
KGM,Lower Johnson Creek,LJC,2013,Ag,0.269
