project,location,creek,year,metal,value,detected
KGM,East Fork Slate Creek,EFSC,2011,Hg,0.069,y
KGM,East Fork Slate Creek,EFSC,2012,Hg,0.327,y
KGM,East Fork Slate Creek,EFSC,2013,Hg,0.0774,y
KGM,East Fork Slate Creek,EFSC,2014,Hg,0.04,y
KGM,East Fork Slate Creek,EFSC,2015,Hg,0.05,y
KGM,East Fork Slate Creek,EFSC,2016,Hg,0.109,y
KGM,East Fork Slate Creek,EFSC,2011,Ni,143,y
KGM,East Fork Slate Creek,EFSC,2012,Ni,153,y
KGM,East Fork Slate Creek,EFSC,2013,Ni,79.8,y
KGM,East Fork Slate Creek,EFSC,2014,Ni,85.3,y
KGM,East Fork Slate Creek,EFSC,2015,Ni,46.8,y
KGM,East Fork Slate Creek,EFSC,2016,Ni,86.1,y
KGM,East Fork Slate Creek,EFSC,2011,Pb,8.5,y
KGM,East Fork Slate Creek,EFSC,2012,Pb,14.2,y
KGM,East Fork Slate Creek,EFSC,2013,Pb,12.5,y
KGM,East Fork Slate Creek,EFSC,2014,Pb,6.94,y
KGM,East Fork Slate Creek,EFSC,2015,Pb,4.48,y
KGM,East Fork Slate Creek,EFSC,2016,Pb,5.54,y
KGM,East Fork Slate Creek,EFSC,2011,Se,1.41,y
KGM,East Fork Slate Creek,EFSC,2012,Se,0.934,y
KGM,East Fork Slate Creek,EFSC,2013,Se,4.79,y
KGM,East Fork Slate Creek,EFSC,2014,Se,2.4,y
KGM,East Fork Slate Creek,EFSC,2015,Se,1.7,y
KGM,East Fork Slate Creek,EFSC,2016,Se,3.1,y
KGM,East Fork Slate Creek,EFSC,2011,Zn,1360,y
KGM,East Fork Slate Creek,EFSC,2012,Zn,1490,y
KGM,East Fork Slate Creek,EFSC,2013,Zn,844,y
KGM,East Fork Slate Creek,EFSC,2014,Zn,812,y
KGM,East Fork Slate Creek,EFSC,2015,Zn,333,y
KGM,East Fork Slate Creek,EFSC,2016,Zn,634,y
KGM,Upper Slate Creek,USC,2011,Ag,0.12,y
KGM,Upper Slate Creek,USC,2012,Ag,0.132,y
KGM,Upper Slate Creek,USC,2013,Ag,0.131,y
KGM,Upper Slate Creek,USC,2014,Ag,0.06,y
KGM,Upper Slate Creek,USC,2015,Ag,0.08,y
KGM,Upper Slate Creek,USC,2016,Ag,0.092,y
KGM,Upper Slate Creek,USC,2011,Al,22500,y
KGM,Upper Slate Creek,USC,2012,Al,20300,y
KGM,Upper Slate Creek,USC,2013,Al,14600,y
KGM,Upper Slate Creek,USC,2014,Al,14900,y
KGM,Upper Slate Creek,USC,2015,Al,14500,y
KGM,Upper Slate Creek,USC,2016,Al,14000,y
KGM,Upper Slate Creek,USC,2011,As,17.9,y
KGM,Upper Slate Creek,USC,2012,As,14.4,y
KGM,Upper Slate Creek,USC,2013,As,13.5,y
KGM,Upper Slate Creek,USC,2014,As,19.2,y
KGM,Upper Slate Creek,USC,2015,As,14.2,y
KGM,Upper Slate Creek,USC,2016,As,18,y
KGM,Upper Slate Creek,USC,2011,Cd,0.722,y
KGM,Upper Slate Creek,USC,2012,Cd,0.776,y
KGM,Upper Slate Creek,USC,2013,Cd,0.75,y
KGM,Upper Slate Creek,USC,2014,Cd,0.69,y
KGM,Upper Slate Creek,USC,2015,Cd,0.76,y
KGM,Upper Slate Creek,USC,2016,Cd,0.507,y
KGM,Upper Slate Creek,USC,2011,Cr,127,y
KGM,Upper Slate Creek,USC,2012,Cr,125,y
KGM,Upper Slate Creek,USC,2013,Cr,101,y
KGM,Upper Slate Creek,USC,2014,Cr,84.2,y
KGM,Upper Slate Creek,USC,2015,Cr,92.2,y
KGM,Upper Slate Creek,USC,2016,Cr,71.7,y
KGM,Upper Slate Creek,USC,2011,Cu,53.4,y
KGM,Upper Slate Creek,USC,2012,Cu,55.4,y
KGM,Upper Slate Creek,USC,2013,Cu,44.6,y
KGM,Upper Slate Creek,USC,2014,Cu,45.8,y
KGM,Upper Slate Creek,USC,2015,Cu,47,y
KGM,Upper Slate Creek,USC,2016,Cu,37,y
